Pokedex Id,Name,Classification,Alternate Form Name,Group,Height,Weight,Primary Type,Secondary Type,Primary Ability,Secondary Ability,Hidden Ability,Male Ratio,Female Ratio,HP,Attack,Defense,SpAtk,SpDef,Speed,BST,CatchRate,Experience Growth Rate,Experience Growth Points Total,Egg Group,Evolution Details,Original Name
249,Lugia,Diving Pokémon,None,Legendary,5.2,216.0,Psychic,Flying,Pressure,None,Multiscale,0.0,0.0,106,90,130,90,154,110,680,3,Slow,1250000,No Eggs Discovered,No Evolution,Lugia
250,Ho-Oh,Rainbow Pokémon,None,Legendary,3.8,199.0,Fire,Flying,Pressure,None,Regenerator,0.0,0.0,106,130,90,110,154,90,680,3,Slow,1250000,No Eggs Discovered,No Evolution,Ho-Oh
251,Celebi,Time Travel Pokémon,None,Mythical,0.6,5.0,Psychic,Grass,Natural Cure,None,None,0.0,0.0,100,100,100,100,100,100,600,45,Medium Slow,1059860,No Eggs Discovered,No Evolution,Celebi
252,Treecko,Wood Gecko Pokémon,None,Starter,0.5,5.0,Grass,None,Overgrow,None,Unburden,87.5,12.5,40,45,35,65,55,70,310,45,Medium Slow,1059860,Monster,No Evolution,Treecko
253,Grovyle,Wood Gecko Pokémon,None,Starter,0.9,21.6,Grass,None,Overgrow,None,Unburden,87.5,12.5,50,65,45,85,65,95,405,45,Medium Slow,1059860,Monster,Level 16,Grovyle
254,Sceptile,Forest Pokémon,None,Starter,1.7,52.2,Grass,None,Overgrow,None,Unburden,87.5,12.5,70,85,65,105,85,120,530,45,Medium Slow,1059860,Monster,Level 36,Sceptile
254,Sceptile (Mega),Forest Pokémon,Mega,,1.9,55.2,Grass,Dragon,Lightning Rod,None,None,87.5,12.5,70,110,75,145,85,145,630,45,Medium Slow,1059860,Monster,No Evolution,Sceptile
255,Torchic,Chick Pokémon,None,Starter,0.4,2.5,Fire,None,Blaze,None,Speed Boost,87.5,12.5,45,60,40,70,50,45,310,45,Medium Slow,1059860,Field,No Evolution,Torchic
256,Combusken,Young Fowl Pokémon,None,Starter,0.9,19.5,Fire,Fighting,Blaze,None,Speed Boost,87.5,12.5,60,85,60,85,60,55,405,45,Medium Slow,1059860,Field,Level 16,Combusken
257,Blaziken,Blaze Pokémon,None,Starter,1.9,52.0,Fire,Fighting,Blaze,None,Speed Boost,87.5,12.5,80,120,70,110,70,80,530,45,Medium Slow,1059860,Field,Level 36,Blaziken
257,Blaziken (Mega),Blaze Pokémon,Mega,,1.9,52.0,Fire,Fighting,Speed Boost,None,None,87.5,12.5,80,160,80,130,80,100,630,45,Medium Slow,1059860,Field,No Evolution,Blaziken
258,Mudkip,Mud Fish Pokémon,None,Starter,0.4,7.6,Water,None,Torrent,None,Damp,87.5,12.5,50,70,50,50,50,40,310,45,Medium Slow,1059860,Monster,No Evolution,Mudkip
259,Marshtomp,Mud Fish Pokémon,None,Starter,0.7,28.0,Water,Ground,Torrent,None,Damp,87.5,12.5,70,85,70,60,70,50,405,45,Medium Slow,1059860,Monster,Level 16,Marshtomp
260,Swampert,Mud Fish Pokémon,None,Starter,1.5,81.9,Water,Ground,Torrent,None,Damp,87.5,12.5,100,110,90,85,90,60,535,45,Medium Slow,1059860,Monster,Level 36,Swampert
260,Swampert (Mega),Mud Fish Pokémon,Mega,,1.9,102.0,Water,Ground,Swift Swim,None,None,87.5,12.5,100,150,110,95,110,70,635,45,Medium Slow,1059860,Monster,No Evolution,Swampert
261,Poochyena,Bite Pokémon,None,,0.5,13.6,Dark,None,Run Away,Quick Feet,Rattled,50.0,50.0,35,55,35,30,30,35,220,255,Medium Fast,1000000,Field,No Evolution,Poochyena
262,Mightyena,Bite Pokémon,None,,1.0,37.0,Dark,None,Intimidate,Quick Feet,Moxie,50.0,50.0,70,90,70,60,60,70,420,127,Medium Fast,1000000,Field,Level 18,Mightyena
263,Zigzagoon,Tiny Raccoon Pokémon,None,,0.4,17.5,Normal,None,Pickup,Gluttony,Quick Feet,50.0,50.0,38,30,41,30,41,60,240,255,Medium Fast,1000000,Field,No Evolution,Zigzagoon
264,Linoone,Rushing Pokémon,None,,0.5,32.5,Normal,None,Pickup,Gluttony,Quick Feet,50.0,50.0,78,70,61,50,61,100,420,90,Medium Fast,1000000,Field,Level 20,Linoone
265,Wurmple,Worm Pokémon,None,,0.3,3.6,Bug,None,Shield Dust,None,Run Away,50.0,50.0,45,45,35,20,30,20,195,255,Medium Fast,1000000,Bug,No Evolution,Wurmple
266,Silcoon,Cocoon Pokémon,None,,0.6,10.0,Bug,None,Shed Skin,None,None,50.0,50.0,50,35,55,25,25,15,205,120,Medium Fast,1000000,Bug,Level 7 Based On Personality Value,Silcoon
267,Beautifly,Butterfly Pokémon,None,,1.0,28.4,Bug,Flying,Swarm,None,Rivalry,50.0,50.0,60,70,50,100,50,65,395,45,Medium Fast,1000000,Bug,Level 10,Beautifly
268,Cascoon,Cocoon Pokémon,None,,0.7,11.5,Bug,None,Shed Skin,None,None,50.0,50.0,50,35,55,25,25,15,205,120,Medium Fast,1000000,Bug,Level 7 Based On Personality Value,Cascoon
269,Dustox,Poison Moth Pokémon,None,,1.2,31.6,Bug,Poison,Shield Dust,None,Compound Eyes,50.0,50.0,60,50,70,50,90,65,385,45,Medium Fast,1000000,Bug,Level 10,Dustox
270,Lotad,Water Weed Pokémon,None,,0.5,2.6,Water,Grass,Swift Swim,Rain Dish,Own Tempo,50.0,50.0,40,30,30,40,50,30,220,255,Medium Slow,1059860,Water 1,No Evolution,Lotad
271,Lombre,Jolly Pokémon,None,,1.2,32.5,Water,Grass,Swift Swim,Rain Dish,Own Tempo,50.0,50.0,60,50,50,60,70,50,340,120,Medium Slow,1059860,Water 1,Level 14,Lombre
272,Ludicolo,Carefree Pokémon,None,,1.5,55.0,Water,Grass,Swift Swim,Rain Dish,Own Tempo,50.0,50.0,80,70,70,90,100,70,480,45,Medium Slow,1059860,Water 1,Water Stone,Ludicolo
273,Seedot,Acorn Pokémon,None,,0.5,4.0,Grass,None,Chlorophyll,Early Bird,Pickpocket,50.0,50.0,40,40,50,30,30,30,220,255,Medium Slow,1059860,Field,No Evolution,Seedot
274,Nuzleaf,Wily Pokémon,None,,1.0,28.0,Grass,Dark,Chlorophyll,Early Bird,Pickpocket,50.0,50.0,70,70,40,60,40,60,340,120,Medium Slow,1059860,Field,Level 14,Nuzleaf
275,Shiftry,Wicked Pokémon,None,,1.3,59.6,Grass,Dark,Chlorophyll,Wind Rider,Pickpocket,50.0,50.0,90,100,60,90,60,80,480,45,Medium Slow,1059860,Fairy,Leaf Stone,Shiftry
276,Taillow,Tiny Swallow Pokémon,None,,0.3,2.3,Normal,Flying,Guts,None,Scrappy,50.0,50.0,40,55,30,30,30,85,270,200,Medium Slow,1059860,Flying,No Evolution,Taillow
277,Swellow,Swallow Pokémon,None,,0.7,19.8,Normal,Flying,Guts,None,Scrappy,50.0,50.0,60,85,60,75,50,125,455,45,Medium Slow,1059860,Flying,Level 22,Swellow
278,Wingull,Seagull Pokémon,None,,0.6,9.5,Water,Flying,Keen Eye,Hydration,Rain Dish,50.0,50.0,40,30,30,55,30,85,270,190,Medium Fast,1000000,Water 1,No Evolution,Wingull
279,Pelipper,Water Bird Pokémon,None,,1.2,28.0,Water,Flying,Keen Eye,Drizzle,Rain Dish,50.0,50.0,60,50,100,95,70,65,440,45,Medium Fast,1000000,Water 1,Level 25,Pelipper
280,Ralts,Feeling Pokémon,None,,0.4,6.6,Psychic,Fairy,Synchronize,Trace,Telepathy,50.0,50.0,28,25,25,45,35,40,198,235,Slow,1250000,Human-Like,No Evolution,Ralts
281,Kirlia,Emotion Pokémon,None,,0.8,20.2,Psychic,Fairy,Synchronize,Trace,Telepathy,50.0,50.0,38,35,35,65,55,50,278,120,Slow,1250000,Human-Like,Level 20,Kirlia
282,Gardevoir,Embrace Pokémon,None,,1.6,48.4,Psychic,Fairy,Synchronize,Trace,Telepathy,50.0,50.0,68,65,65,125,115,80,518,45,Slow,1250000,Human-Like,Level 30,Gardevoir
282,Gardevoir (Mega),Embrace Pokémon,Mega,,1.6,48.4,Psychic,Fairy,Pixilate,None,None,50.0,50.0,68,85,65,165,135,100,618,45,Slow,1250000,Amorphous,No Evolution,Gardevoir
283,Surskit,Pond Skater Pokémon,None,,0.5,1.7,Bug,Water,Swift Swim,None,Rain Dish,50.0,50.0,40,30,32,50,52,65,269,200,Medium Fast,1000000,Water 1,No Evolution,Surskit
284,Masquerain,Eyeball Pokémon,None,,0.8,3.6,Bug,Flying,Intimidate,None,Unnerve,50.0,50.0,70,60,62,100,82,80,454,75,Medium Fast,1000000,Water 1,Level 22,Masquerain
285,Shroomish,Mushroom Pokémon,None,,0.4,4.5,Grass,None,Effect Spore,Poison Heal,Quick Feet,50.0,50.0,60,40,60,40,60,35,295,255,Fluctuating,1640000,Fairy,No Evolution,Shroomish
286,Breloom,Mushroom Pokémon,None,,1.2,39.2,Grass,Fighting,Effect Spore,Poison Heal,Technician,50.0,50.0,60,130,80,60,60,70,460,90,Fluctuating,1640000,Fairy,Level 23,Breloom
287,Slakoth,Slacker Pokémon,None,,0.8,24.0,Normal,None,Truant,None,None,50.0,50.0,60,60,60,35,35,30,280,255,Slow,1250000,Field,No Evolution,Slakoth
288,Vigoroth,Wild Monkey Pokémon,None,,1.4,46.5,Normal,None,Vital Spirit,None,None,50.0,50.0,80,80,80,55,55,90,440,120,Slow,1250000,Field,Level 18,Vigoroth
289,Slaking,Lazy Pokémon,None,,2.0,130.5,Normal,None,Truant,None,None,50.0,50.0,150,160,100,95,65,100,670,45,Slow,1250000,Field,Level 36,Slaking
290,Nincada,Trainee Pokémon,None,,0.5,5.5,Bug,Ground,Compound Eyes,None,Run Away,50.0,50.0,31,45,90,30,30,40,266,255,Erratic,600000,Bug,No Evolution,Nincada
291,Ninjask,Ninja Pokémon,None,,0.8,12.0,Bug,Flying,Speed Boost,None,Infiltrator,50.0,50.0,61,90,45,50,50,160,456,120,Erratic,600000,Bug,Level 20,Ninjask
292,Shedinja,Shed Pokémon,None,,0.8,1.2,Bug,Ghost,Wonder Guard,None,None,0.0,0.0,1,90,45,30,30,40,236,45,Erratic,600000,Mineral,Have A Pokeball And Empty Space In Party,Shedinja
293,Whismur,Whisper Pokémon,None,,0.6,16.3,Normal,None,Soundproof,None,Rattled,50.0,50.0,64,51,23,51,23,28,240,190,Medium Slow,1059860,Monster,No Evolution,Whismur
294,Loudred,Big Voice Pokémon,None,,1.0,40.5,Normal,None,Soundproof,None,Scrappy,50.0,50.0,84,71,43,71,43,48,360,120,Medium Slow,1059860,Monster,Level 20,Loudred
295,Exploud,Loud Noise Pokémon,None,,1.5,84.0,Normal,None,Soundproof,None,Scrappy,50.0,50.0,104,91,63,91,73,68,490,45,Medium Slow,1059860,Monster,Level 40,Exploud
296,Makuhita,Guts Pokémon,None,,1.0,86.4,Fighting,None,Thick Fat,Guts,Sheer Force,75.0,25.0,72,60,30,20,30,25,237,180,Fluctuating,1640000,Human-Like,No Evolution,Makuhita
297,Hariyama,Arm Thrust Pokémon,None,,2.3,253.8,Fighting,None,Thick Fat,Guts,Sheer Force,75.0,25.0,144,120,60,40,60,50,474,200,Fluctuating,1640000,Human-Like,Level 24,Hariyama
298,Azurill,Polka Dot Pokémon,None,,0.2,2.0,Normal,Fairy,Thick Fat,Huge Power,Sap Sipper,25.0,75.0,50,20,40,20,40,20,190,150,Fast,800000,No Eggs Discovered,No Evolution,Azurill
299,Nosepass,Compass Pokémon,None,,1.0,97.0,Rock,None,Sturdy,Magnet Pull,Sand Force,50.0,50.0,30,45,135,45,90,30,375,255,Medium Fast,1000000,Mineral,No Evolution,Nosepass
300,Skitty,Kitten Pokémon,None,,0.6,11.0,Normal,None,Cute Charm,Normalize,Wonder Skin,25.0,75.0,50,45,45,35,35,50,260,255,Fast,800000,Field,No Evolution,Skitty
301,Delcatty,Prim Pokémon,None,,1.1,32.6,Normal,None,Cute Charm,Normalize,Wonder Skin,25.0,75.0,70,65,65,55,55,90,400,60,Fast,800000,Field,Moon Stone,Delcatty
302,Sableye,Darkness Pokémon,None,,0.5,11.0,Dark,Ghost,Keen Eye,Stall,Prankster,50.0,50.0,50,75,75,65,65,50,380,45,Medium Slow,1059860,Human-Like,No Evolution,Sableye
302,Sableye (Mega),Darkness Pokémon,Mega,,0.5,161.0,Dark,Ghost,Magic Bounce,None,None,50.0,50.0,50,85,125,85,115,20,480,45,Medium Slow,1059860,Human-Like,No Evolution,Sableye
303,Mawile,Deceiver Pokémon,None,,0.6,11.5,Steel,Fairy,Hyper Cutter,Intimidate,Sheer Force,50.0,50.0,50,85,85,55,55,50,380,45,Fast,800000,Field,No Evolution,Mawile
303,Mawile (Mega),Deceiver Pokémon,Mega,,1.0,23.5,Steel,Fairy,Huge Power,None,None,50.0,50.0,50,105,125,55,95,50,480,45,Fast,800000,Field,No Evolution,Mawile
304,Aron,Iron Armor Pokémon,None,,0.4,60.0,Steel,Rock,Sturdy,Rock Head,Heavy Metal,50.0,50.0,50,70,100,40,40,30,330,180,Slow,1250000,Monster,No Evolution,Aron
305,Lairon,Iron Armor Pokémon,None,,0.9,120.0,Steel,Rock,Sturdy,Rock Head,Heavy Metal,50.0,50.0,60,90,140,50,50,40,430,90,Slow,1250000,Monster,Level 32,Lairon
306,Aggron,Iron Armor Pokémon,None,,2.1,360.0,Steel,Rock,Sturdy,Rock Head,Heavy Metal,50.0,50.0,70,110,180,60,60,50,530,45,Slow,1250000,Monster,Level 42,Aggron
306,Aggron (Mega),Iron Armor Pokémon,Mega,,2.2,395.0,Steel,None,Filter,None,None,50.0,50.0,70,140,230,60,80,50,630,45,Slow,1250000,Monster,No Evolution,Aggron
307,Meditite,Meditate Pokémon,None,,0.6,11.2,Fighting,Psychic,Pure Power,None,Telepathy,50.0,50.0,30,40,55,40,55,60,280,180,Medium Fast,1000000,Human-Like,No Evolution,Meditite
308,Medicham,Meditate Pokémon,None,,1.3,31.5,Fighting,Psychic,Pure Power,None,Telepathy,50.0,50.0,60,60,75,60,75,80,410,90,Medium Fast,1000000,Human-Like,Level 37,Medicham
308,Medicham (Mega),Meditate Pokémon,Mega,,1.3,31.5,Fighting,Psychic,Pure Power,None,None,50.0,50.0,60,100,85,80,85,100,510,90,Medium Fast,1000000,Human-Like,No Evolution,Medicham
309,Electrike,Lightning Pokémon,None,,0.6,15.2,Electric,None,Static,Lightning Rod,Minus,50.0,50.0,40,45,40,65,40,65,295,120,Slow,1250000,Field,No Evolution,Electrike
310,Manectric,Discharge Pokémon,None,,1.5,40.2,Electric,None,Static,Lightning Rod,Minus,50.0,50.0,70,75,60,105,60,105,475,45,Slow,1250000,Field,Level 26,Manectric
310,Manectric (Mega),Discharge Pokémon,Mega,,1.8,44.0,Electric,None,Intimidate,None,None,50.0,50.0,70,75,80,135,80,135,575,45,Slow,1250000,Field,No Evolution,Manectric
311,Plusle,Cheering Pokémon,None,,0.4,4.2,Electric,None,Plus,None,Lightning Rod,50.0,50.0,60,50,40,85,75,95,405,200,Medium Fast,1000000,Fairy,No Evolution,Plusle
312,Minun,Cheering Pokémon,None,,0.4,4.2,Electric,None,Minus,None,Volt Absorb,50.0,50.0,60,40,50,75,85,95,405,200,Medium Fast,1000000,Fairy,No Evolution,Minun
313,Volbeat,Firefly Pokémon,None,,0.7,17.7,Bug,None,Illuminate,Swarm,Prankster,100.0,0.0,65,73,75,47,85,85,430,150,Erratic,600000,Bug,No Evolution,Volbeat
314,Illumise,Firefly Pokémon,None,,0.6,17.7,Bug,None,Oblivious,Tinted Lens,Prankster,0.0,100.0,65,47,75,73,85,85,430,150,Fluctuating,1640000,Bug,No Evolution,Illumise
315,Roselia,Thorn Pokémon,None,,0.3,2.0,Grass,Poison,Natural Cure,Poison Point,Leaf Guard,50.0,50.0,50,60,45,100,80,65,400,150,Medium Slow,1059860,Fairy,During The Day,Roselia
316,Gulpin,Stomach Pokémon,None,,0.4,10.3,Poison,None,Liquid Ooze,Sticky Hold,Gluttony,50.0,50.0,70,43,53,43,53,40,302,225,Fluctuating,1640000,Amorphous,No Evolution,Gulpin
317,Swalot,Poison Bag Pokémon,None,,1.7,80.0,Poison,None,Liquid Ooze,Sticky Hold,Gluttony,50.0,50.0,100,73,83,73,83,55,467,75,Fluctuating,1640000,Amorphous,Level 26,Swalot
318,Carvanha,Savage Pokémon,None,,0.8,20.8,Water,Dark,Rough Skin,None,Speed Boost,50.0,50.0,45,90,20,65,20,65,305,225,Slow,1250000,Water 2,No Evolution,Carvanha
319,Sharpedo,Brutal Pokémon,None,,1.8,88.8,Water,Dark,Rough Skin,None,Speed Boost,50.0,50.0,70,120,40,95,40,95,460,60,Slow,1250000,Water 2,Level 30,Sharpedo
319,Sharpedo (Mega),Brutal Pokémon,Mega,,2.5,130.3,Water,Dark,Strong Jaw,None,None,50.0,50.0,70,140,70,110,65,105,560,60,Slow,1250000,Water 2,No Evolution,Sharpedo
320,Wailmer,Ball Whale Pokémon,None,,2.0,130.0,Water,None,Water Veil,Oblivious,Pressure,50.0,50.0,130,70,35,70,35,60,400,125,Fluctuating,1640000,Field,No Evolution,Wailmer
321,Wailord,Float Whale Pokémon,None,,14.5,398.0,Water,None,Water Veil,Oblivious,Pressure,50.0,50.0,170,90,45,90,45,60,500,60,Fluctuating,1640000,Field,Level 40,Wailord
322,Numel,Numb Pokémon,None,,0.7,24.0,Fire,Ground,Oblivious,Simple,Own Tempo,50.0,50.0,60,60,40,65,45,35,305,255,Medium Fast,1000000,Field,No Evolution,Numel
323,Camerupt,Eruption Pokémon,None,,1.9,220.0,Fire,Ground,Magma Armor,Solid Rock,Anger Point,50.0,50.0,70,100,70,105,75,40,460,150,Medium Fast,1000000,Field,Level 33,Camerupt
323,Camerupt (Mega),Eruption Pokémon,Mega,,2.5,320.5,Fire,Ground,Sheer Force,None,None,50.0,50.0,70,120,100,145,105,20,560,150,Medium Fast,1000000,Field,No Evolution,Camerupt
324,Torkoal,Coal Pokémon,None,,0.5,80.4,Fire,None,White Smoke,Drought,Shell Armor,50.0,50.0,70,85,140,85,70,20,470,90,Medium Fast,1000000,Field,No Evolution,Torkoal
325,Spoink,Bounce Pokémon,None,,0.7,30.6,Psychic,None,Thick Fat,Own Tempo,Gluttony,50.0,50.0,60,25,35,70,80,60,330,255,Fast,800000,Field,No Evolution,Spoink
326,Grumpig,Manipulate Pokémon,None,,0.9,71.5,Psychic,None,Thick Fat,Own Tempo,Gluttony,50.0,50.0,80,45,65,90,110,80,470,60,Fast,800000,Field,Level 32,Grumpig
327,Spinda,Spot Panda Pokémon,None,,1.1,5.0,Normal,None,Own Tempo,Tangled Feet,Contrary,50.0,50.0,60,60,60,60,60,60,360,255,Fast,800000,Field,No Evolution,Spinda
328,Trapinch,Ant Pit Pokémon,None,,0.7,15.0,Ground,None,Hyper Cutter,Arena Trap,Sheer Force,50.0,50.0,45,100,45,45,45,10,290,255,Medium Slow,1059860,Bug,No Evolution,Trapinch
329,Vibrava,Vibration Pokémon,None,,1.1,15.3,Ground,Dragon,Levitate,None,None,50.0,50.0,50,70,50,50,50,70,340,120,Medium Slow,1059860,Bug,Level 35,Vibrava
330,Flygon,Mystic Pokémon,None,,2.0,82.0,Ground,Dragon,Levitate,None,None,50.0,50.0,80,100,80,80,80,100,520,45,Medium Slow,1059860,Bug,Level 45,Flygon
331,Cacnea,Cactus Pokémon,None,,0.4,51.3,Grass,None,Sand Veil,None,Water Absorb,50.0,50.0,50,85,40,85,40,35,335,190,Medium Slow,1059860,Grass,No Evolution,Cacnea
332,Cacturne,Scarecrow Pokémon,None,,1.3,77.4,Grass,Dark,Sand Veil,None,Water Absorb,50.0,50.0,70,115,60,115,60,55,475,60,Medium Slow,1059860,Grass,Level 32,Cacturne
333,Swablu,Cotton Bird Pokémon,None,,0.4,1.2,Normal,Flying,Natural Cure,None,Cloud Nine,50.0,50.0,45,40,60,40,75,50,310,255,Erratic,600000,Flying,No Evolution,Swablu
334,Altaria,Humming Pokémon,None,,1.1,20.6,Dragon,Flying,Natural Cure,None,Cloud Nine,50.0,50.0,75,70,90,70,105,80,490,45,Erratic,600000,Flying,Level 35,Altaria
334,Altaria (Mega),Humming Pokémon,Mega,,1.5,20.6,Dragon,Fairy,Pixilate,None,None,50.0,50.0,75,110,110,110,105,80,590,45,Erratic,600000,Flying,No Evolution,Altaria
335,Zangoose,Cat Ferret Pokémon,None,,1.3,40.3,Normal,None,Immunity,None,Toxic Boost,50.0,50.0,73,115,60,60,60,90,458,90,Erratic,600000,Field,No Evolution,Zangoose
336,Seviper,Fang Snake Pokémon,None,,2.7,52.5,Poison,None,Shed Skin,None,Infiltrator,50.0,50.0,73,100,60,100,60,65,458,90,Fluctuating,1640000,Field,No Evolution,Seviper
337,Lunatone,Meteorite Pokémon,None,,1.0,168.0,Rock,Psychic,Levitate,None,None,0.0,0.0,90,55,65,95,85,70,460,45,Fast,800000,Mineral,No Evolution,Lunatone
338,Solrock,Meteorite Pokémon,None,,1.2,154.0,Rock,Psychic,Levitate,None,None,0.0,0.0,90,95,85,55,65,70,460,45,Fast,800000,Mineral,No Evolution,Solrock
339,Barboach,Whiskers Pokémon,None,,0.4,1.9,Water,Ground,Oblivious,Anticipation,Hydration,50.0,50.0,50,48,43,46,41,60,288,190,Medium Fast,1000000,Water 2,No Evolution,Barboach
340,Whiscash,Whiskers Pokémon,None,,0.9,23.6,Water,Ground,Oblivious,Anticipation,Hydration,50.0,50.0,110,78,73,76,71,60,468,75,Medium Fast,1000000,Water 2,Level 30,Whiscash
341,Corphish,Ruffian Pokémon,None,,0.6,11.5,Water,None,Hyper Cutter,Shell Armor,Adaptability,50.0,50.0,43,80,65,50,35,35,308,205,Fluctuating,1640000,Water 1,No Evolution,Corphish
342,Crawdaunt,Rogue Pokémon,None,,1.1,32.8,Water,Dark,Hyper Cutter,Shell Armor,Adaptability,50.0,50.0,63,120,85,90,55,55,468,155,Fluctuating,1640000,Water 1,Level 30,Crawdaunt
343,Baltoy,Clay Doll Pokémon,None,,0.5,21.5,Ground,Psychic,Levitate,None,None,0.0,0.0,40,40,55,40,70,55,300,255,Medium Fast,1000000,Mineral,No Evolution,Baltoy
344,Claydol,Clay Doll Pokémon,None,,1.5,107.9,Ground,Psychic,Levitate,None,None,0.0,0.0,60,70,105,70,120,75,500,90,Medium Fast,1000000,Mineral,Level 36,Claydol
345,Lileep,Sea Lily Pokémon,None,,1.0,23.8,Rock,Grass,Suction Cups,None,Storm Drain,87.5,12.5,66,41,77,61,87,23,355,45,Erratic,600000,Water 3,No Evolution,Lileep
346,Cradily,Barnacle Pokémon,None,,1.5,60.4,Rock,Grass,Suction Cups,None,Storm Drain,87.5,12.5,86,81,97,81,107,43,495,45,Erratic,600000,Water 3,Level 40,Cradily
347,Anorith,Old Shrimp Pokémon,None,,0.7,12.5,Rock,Bug,Battle Armor,None,Swift Swim,87.5,12.5,45,95,50,40,50,75,355,45,Erratic,600000,Water 3,No Evolution,Anorith
348,Armaldo,Plate Pokémon,None,,1.5,68.2,Rock,Bug,Battle Armor,None,Swift Swim,87.5,12.5,75,125,100,70,80,45,495,45,Erratic,600000,Water 3,Level 40,Armaldo
349,Feebas,Fish Pokémon,None,,0.6,7.4,Water,None,Swift Swim,Oblivious,Adaptability,50.0,50.0,20,15,20,10,55,80,200,255,Erratic,600000,Water 1,No Evolution,Feebas
350,Milotic,Tender Pokémon,None,,6.2,162.0,Water,None,Marvel Scale,Competitive,Cute Charm,50.0,50.0,95,60,79,100,125,81,540,60,Erratic,600000,Water 1,With Maxed Beauty,Milotic
351,Castform,Weather Pokémon,None,,0.3,0.8,Normal,None,Forecast,None,None,50.0,50.0,70,70,70,70,70,70,420,45,Medium Fast,1000000,Fairy,No Evolution,Castform
352,Kecleon,Color Swap Pokémon,None,,1.0,22.0,Normal,None,Color Change,None,Protean,50.0,50.0,60,90,70,60,120,40,440,200,Medium Slow,1059860,Field,No Evolution,Kecleon
353,Shuppet,Puppet Pokémon,None,,0.6,2.3,Ghost,None,Insomnia,Frisk,Cursed Body,50.0,50.0,44,75,35,63,33,45,295,225,Fast,800000,Amorphous,No Evolution,Shuppet
354,Banette,Marionette Pokémon,None,,1.1,12.5,Ghost,None,Insomnia,Frisk,Cursed Body,50.0,50.0,64,115,65,83,63,65,455,45,Fast,800000,Amorphous,Level 37,Banette
354,Banette (Mega),Marionette Pokémon,Mega,,1.2,13.0,Ghost,None,Prankster,None,None,50.0,50.0,64,165,75,93,83,75,555,45,Fast,800000,Amorphous,No Evolution,Banette
355,Duskull,Requiem Pokémon,None,,0.8,15.0,Ghost,None,Levitate,None,Frisk,50.0,50.0,20,40,90,30,90,25,295,190,Fast,800000,Amorphous,No Evolution,Duskull
356,Dusclops,Beckon Pokémon,None,,1.6,30.6,Ghost,None,Pressure,None,Frisk,50.0,50.0,40,70,130,60,130,25,455,90,Fast,800000,Amorphous,Level 37,Dusclops
357,Tropius,Fruit Pokémon,None,,2.0,100.0,Grass,Flying,Chlorophyll,Solar Power,Harvest,50.0,50.0,99,68,83,72,87,51,460,200,Slow,1250000,Monster,No Evolution,Tropius
358,Chimecho,Wind Chime Pokémon,None,,0.6,1.0,Psychic,None,Levitate,None,None,50.0,50.0,75,50,80,95,90,65,455,45,Fast,800000,Amorphous,During The Night,Chimecho
359,Absol,Disaster Pokémon,None,,1.2,47.0,Dark,None,Pressure,Super Luck,Justified,50.0,50.0,65,130,60,75,60,75,465,30,Medium Slow,1059860,Field,No Evolution,Absol
359,Absol (Mega),Disaster Pokémon,Mega,,1.2,49.0,Dark,None,Magic Bounce,None,None,50.0,50.0,65,150,60,115,60,115,565,30,Medium Slow,1059860,Field,No Evolution,Absol
360,Wynaut,Bright Pokémon,None,,0.6,14.0,Psychic,None,Shadow Tag,None,Telepathy,50.0,50.0,95,23,48,23,48,23,260,125,Medium Fast,1000000,No Eggs Discovered,No Evolution,Wynaut
361,Snorunt,Snow Hat Pokémon,None,,0.7,16.8,Ice,None,Inner Focus,Ice Body,Moody,50.0,50.0,50,50,50,50,50,50,300,190,Medium Fast,1000000,Fairy,No Evolution,Snorunt
362,Glalie,Face Pokémon,None,,1.5,256.5,Ice,None,Inner Focus,Ice Body,Moody,50.0,50.0,80,80,80,80,80,80,480,75,Medium Fast,1000000,Fairy,Level 42,Glalie
362,Glalie (Mega),Face Pokémon,Mega,,2.1,350.2,Ice,None,Refrigerate,None,None,50.0,50.0,80,120,80,120,80,100,580,75,Medium Fast,1000000,Fairy,No Evolution,Glalie
363,Spheal,Clap Pokémon,None,,0.8,39.5,Ice,Water,Thick Fat,Ice Body,Oblivious,50.0,50.0,70,40,50,55,50,25,290,255,Medium Slow,1059860,Water 1,No Evolution,Spheal
364,Sealeo,Ball Roll Pokémon,None,,1.1,87.6,Ice,Water,Thick Fat,Ice Body,Oblivious,50.0,50.0,90,60,70,75,70,45,410,120,Medium Slow,1059860,Water 1,Level 32,Sealeo
365,Walrein,Ice Break Pokémon,None,,1.4,150.6,Ice,Water,Thick Fat,Ice Body,Oblivious,50.0,50.0,110,80,90,95,90,65,530,45,Medium Slow,1059860,Water 1,Level 44,Walrein
366,Clamperl,Bivalve Pokémon,None,,0.4,52.5,Water,None,Shell Armor,None,Rattled,50.0,50.0,35,64,85,74,55,32,345,255,Erratic,600000,Water 1,No Evolution,Clamperl
367,Huntail,Deep Sea Pokémon,None,,1.7,27.0,Water,None,Swift Swim,None,Water Veil,50.0,50.0,55,104,105,94,75,52,485,60,Erratic,600000,Water 1,Deep Sea Tooth,Huntail
368,Gorebyss,South Sea Pokémon,None,,1.8,22.6,Water,None,Swift Swim,None,Hydration,50.0,50.0,55,84,105,114,75,52,485,60,Erratic,600000,Water 1,Deep Sea Scale,Gorebyss
